0000000000082340,convbase_underscore
000000000008546c,histsizesetfn
000000000005aa24,lex_context_save
0000000000080cec,hashgetfn
000000000006d184,newmoduletable
000000000005a484,selectjobtab
0000000000073b64,addhookdefs
00000000000aed68,arrlen_ge
000000000009a860,match_highlight
000000000007dfa0,isident
00000000000aec6c,strucpy
000000000008176c,ttyidlegetfn
0000000000056a40,readhistfile
000000000006aae8,deletebuiltin
000000000006e180,parse_subst_string
00000000000bf7cc,mailstat
000000000008172c,gidgetfn
00000000000b0f44,wcs_nicechar_sel
000000000005a820,findjobnam
000000000004f030,quietgethist
00000000000af270,timespec_diff_us
00000000000b5140,getnameddir
0000000000099f8c,startpatternscope
00000000000a45c0,tricat
000000000004d2c0,ihwabort
00000000000aedac,arrlen_gt
0000000000081aa0,convbase_ptr
00000000000821ac,terminfogetfn
000000000004fba4,createreswdtable
000000000002df80,bin_let
0000000000084a8c,ifssetfn
00000000000ba548,itype_end
00000000000b7f80,wordcount
00000000000a3be0,dyncat
0000000000080c20,getvalue
00000000000816ec,uidgetfn
000000000009a420,pat_enables
000000000006cfe0,zlinklist2array
0000000000079240,optlookup
0000000000098d80,freepatprog
0000000000098720,putstr
0000000000094b70,dump_autoload
0000000000082ca8,newuniqtable
00000000000b6a20,getquery
00000000000b6e30,checkrmall
0000000000019844,fixdir
0000000000081010,termgetfn
000000000007cb8c,handlefeatures
00000000000ae040,freestr
00000000000b9980,inittyptab
0000000000032640,bin_test
000000000006fd20,execwhile
00000000000a7280,prefork
00000000000b3ac0,xsymlink
000000000004ea80,checkcurline
00000000000b44e0,ispwd
00000000000b3564,gettyinfo
0000000000055b40,bufferwords
000000000004f504,addhashnode2
0000000000080d40,intvargetfn
00000000000ae6cc,delprepromptfn
0000000000084ac4,histcharssetfn
00000000000b8640,findword
000000000004e2cc,freehistdata
0000000000070804,execselect
00000000000ae770,deltimedfn
00000000000351a0,iscom
00000000000ae884,addmodulefd
00000000000bad60,hasspecial
000000000004cfe8,histhasher
000000000002cb20,bin_shift
00000000000987c4,pattrystart
00000000000bd2ac,ztrdup_metafy
0000000000061b44,release_pgrp
000000000005a68c,gettrapnode
00000000000a39e0,strend
000000000006c260,hlinklist2array
0000000000080f20,keyboardhackgetfn
000000000005c9e0,addbgstatus
00000000000bb040,privasserted
0000000000083070,getaparam
00000000000a3a20,dupstring
000000000006abc0,deletewrapper
000000000006cd60,zalloc
000000000006ade0,deletehookdefs
0000000000081d8c,parse_context_restore
00000000000617c0,clearjobtab
00000000000821e8,terminfodirsgetfn
000000000004d400,ihwbegin
00000000000597c0,zshlex
000000000006b08c,removemathfunc
000000000006d4e0,addhookdeffunc
00000000000509c0,remtpath
0000000000063ce0,scanjobs
0000000000089f80,assignsparam
000000000005fc90,shelltime
00000000000bb64c,wcsitype
00000000000299c8,bin_print
00000000000a3ae4,dupstring_glen
0000000000089f60,setiparam
0000000000026224,realexit
0000000000020800,bin_functions
000000000005a608,getsigname
000000000005f0e0,run_init_scripts
000000000005c2a0,inpush
0000000000081500,intsecondssetfn
0000000000042224,stripkshdef
00000000000ae100,mb_charinit
000000000004f128,histfileIsLocked
0000000000070288,exectry
00000000000af36c,zsleep
000000000006c0c4,hcalloc
00000000000bbacc,mkarray
0000000000041820,freematchlist
00000000000bf260,lchdir
00000000000615e0,deletejob
000000000006ae60,deletehookdeffunc
000000000008e1c0,ecgetredirs
000000000005a060,findproc
00000000000a2d90,starttrapscope
0000000000082e24,init_parse
0000000000050084,createnameddirtable
00000000000818e0,getrawseconds
000000000006c128,insertlinknode
00000000000b12a0,wcs_nicechar
00000000000811a0,hashsetfn
0000000000086240,arrfixenv
00000000000ba3a0,zputs
000000000004e308,hist_context_restore
00000000000264c0,mkautofn
0000000000051aa8,getshfuncfile
00000000000aee00,arrlen_le
00000000000b6528,gettempname
0000000000082c20,gidsetfn
0000000000080c40,intgetfn
00000000000a4560,wcs_ztrdup
000000000002e0e0,zgetdir
00000000000860e0,terminfosetfn
000000000006d720,zrealloc
000000000003ef80,gethere
00000000000420a0,sticky_emulation_dup
00000000000aee4c,arrlen_lt
0000000000051120,scanshfunc
0000000000092ce8,eccopyredirs
0000000000082b8c,uidsetfn
000000000004cda4,gethashnode2
0000000000069e80,joinlists
0000000000080fc0,homegetfn
00000000000bd6cc,mb_niceformat
00000000000846a0,zhuniqarray
000000000008d700,incrdumpcount
0000000000069f4c,freeheap
00000000000bc6b0,wcs_zarrdup
0000000000085648,termsetfn
0000000000069900,finish_zshQsmain
0000000000033544,bin_trap
000000000004f6a4,addhashnode
